d:\work\work\lib\site-packages\torch\nn\modules\loss.py:536: UserWarning: Using a target size (torch.Size([8, 4, 3])) that is different to the input size (torch.Size([8, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
C:\Users\jagpr\AppData\Local\Temp\ipykernel_18652\980383283.py:20: UserWarning: Using a target size (torch.Size([5000, 1, 3])) that is different to the input size (torch.Size([4996, 4, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  loss = F.mse_loss(pred, data)
Epoch [1/10], Loss: 136.7033
Epoch [1/10], Loss: 135.2566
Epoch [1/10], Loss: 133.8193
Epoch [1/10], Loss: 132.3834
Epoch [1/10], Loss: 130.9258
Epoch [1/10], Loss: 129.4268
Epoch [1/10], Loss: 127.9550
Epoch [1/10], Loss: 126.5013
Epoch [1/10], Loss: 125.0108
Epoch [1/10], Loss: 123.4810
Epoch [1/10], Loss: 121.9647
Epoch [1/10], Loss: 120.4408
Epoch [1/10], Loss: 118.9260
Epoch [1/10], Loss: 117.4011
Epoch [1/10], Loss: 115.9306
Epoch [1/10], Loss: 114.4528
Epoch [1/10], Loss: 112.9869
Epoch [1/10], Loss: 111.5232
Epoch [1/10], Loss: 110.0816
Epoch [1/10], Loss: 108.6670
Epoch [1/10], Loss: 107.2743
Epoch [1/10], Loss: 105.8992
Epoch [1/10], Loss: 104.5168
Epoch [1/10], Loss: 103.1233
Epoch [1/10], Loss: 101.7629
Epoch [1/10], Loss: 100.4552
Epoch [1/10], Loss: 99.1405
Epoch [1/10], Loss: 97.8588
Epoch [1/10], Loss: 96.5689
Epoch [1/10], Loss: 95.2927
Epoch [1/10], Loss: 94.0319
Epoch [1/10], Loss: 92.7599
Epoch [1/10], Loss: 91.5118
Epoch [1/10], Loss: 90.2796
Epoch [1/10], Loss: 89.0540
Epoch [1/10], Loss: 87.8466
Epoch [1/10], Loss: 86.6672
Epoch [1/10], Loss: 85.5043
Epoch [1/10], Loss: 84.3829
